Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13 00:00:00+02:00,161.564802210995,161.564802210995,155.24366760253906,155.24366760253906,390715,0.0,0.0
2020-05-14 00:00:00+02:00,154.7132549863873,155.4647247637199,149.49721349995923,153.16612243652344,385174,0.0,0.0
2020-05-15 00:00:00+02:00,154.58064213941594,155.55311731922603,148.56892465815716,152.37045288085938,652861,0.0,0.0
2020-05-18 00:00:00+02:00,158.2150233869954,163.28338623046875,156.84519634468376,163.28338623046875,425731,5.5,0.0
2020-05-19 00:00:00+02:00,163.92265077788255,168.9453503838901,162.68980075529424,165.52078247070312,376116,0.0,0.0
2020-05-20 00:00:00+02:00,164.37923144174383,167.02755793002078,159.53917350681692,166.16000366210938,259371,0.0,0.0
2020-05-22 00:00:00+02:00,162.00488626458855,166.6166404820844,159.63052755218249,163.648681640625,429746,0.0,0.0
2020-05-25 00:00:00+02:00,165.24679550106646,166.2056771948802,163.60300030232878,165.61209106445312,190501,0.0,0.0
2020-05-26 00:00:00+02:00,165.97737516067787,173.96803283691406,165.70340696771524,173.96803283691406,511042,0.0,0.0
2020-05-27 00:00:00+02:00,173.83105407437526,177.8492077514009,171.68498617336775,174.6986083984375,337100,0.0,0.0
2020-05-28 00:00:00+02:00,175.97712299489223,181.31945439033979,174.7442869352828,178.3058319091797,342784,0.0,0.0
2020-05-29 00:00:00+02:00,174.78991201597407,176.15973895633311,172.59819448523967,175.24652099609375,388447,0.0,0.0
2020-06-02 00:00:00+02:00,177.94054355258763,182.0043611095494,175.3835302122134,177.7578887939453,594483,0.0,0.0
2020-06-03 00:00:00+02:00,177.71222958748837,186.75308227539062,177.4839250859292,186.75308227539062,445644,0.0,0.0
2020-06-04 00:00:00+02:00,185.10928844986353,185.93119302233163,182.09566622001591,184.65267944335938,264551,0.0,0.0
2020-06-05 00:00:00+02:00,186.47911621325483,190.22331565536516,185.74853901301364,188.7621612548828,397900,0.0,0.0
2020-06-08 00:00:00+02:00,187.0270694043203,191.04522346483756,186.9357420206076,188.03160095214844,297477,0.0,0.0
2020-06-09 00:00:00+02:00,188.39688913005662,189.310107192796,181.5477536595112,185.47459411621094,279835,0.0,0.0
2020-06-10 00:00:00+02:00,185.3832570101054,187.39233385580704,181.82171232611623,182.41529846191406,326001,0.0,0.0
2020-06-11 00:00:00+02:00,178.7624317250728,178.808095414094,173.0091552734375,173.0091552734375,449494,0.0,0.0
2020-06-12 00:00:00+02:00,171.04575464586654,179.44735846387024,170.31517737156133,173.2374725341797,414851,0.0,0.0
